step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775421147.410516,forward,0.2132985908538103,11152.7294921875
0,1775421147.646871,backward,0.23612248338758945,519.27490234375
0,1775421147.6590936,optimizer,0.011895863339304924,519.27490234375
1,1775421147.929985,forward,0.08404566533863544,11161.35498046875
1,1775421148.1106784,backward,0.18049023300409317,524.150390625
1,1775421148.1138306,optimizer,0.0023865699768066406,524.150390625
2,1775421148.35041,forward,0.08403194695711136,11161.35498046875
2,1775421148.5311317,backward,0.1805245243012905,524.150390625
2,1775421148.533872,optimizer,0.0022171474993228912,524.150390625
3,1775421148.7718213,forward,0.08433077856898308,11161.35498046875
3,1775421148.9525678,backward,0.18054351210594177,524.150390625
3,1775421148.955316,optimizer,0.002248769626021385,524.150390625
4,1775421149.1925533,forward,0.08411374501883984,11161.35498046875
4,1775421149.3731327,backward,0.1802984494715929,524.150390625
4,1775421149.3760118,optimizer,0.002363748848438263,524.150390625
5,1775421149.5983422,forward,0.08399093337357044,11161.35498046875
5,1775421149.7788181,backward,0.18028259836137295,524.150390625
5,1775421149.781726,optimizer,0.0023265108466148376,524.150390625
6,1775421150.0115185,forward,0.0841701589524746,11161.35498046875
6,1775421150.1923063,backward,0.18059213645756245,524.150390625
6,1775421150.1950643,optimizer,0.002231428399682045,524.150390625
7,1775421150.4259794,forward,0.08407812379300594,11161.35498046875
7,1775421150.6068661,backward,0.18065009452402592,524.150390625
7,1775421150.6096363,optimizer,0.0022514276206493378,524.150390625
8,1775421150.833413,forward,0.08413350768387318,11161.35498046875
8,1775421151.013941,backward,0.18032114021480083,524.150390625
8,1775421151.0166857,optimizer,0.0022261757403612137,524.150390625
9,1775421151.241738,forward,0.08463204465806484,11161.35498046875
9,1775421151.4223502,backward,0.18040802143514156,524.150390625
9,1775421151.4251516,optimizer,0.0022731777280569077,524.150390625
10,1775421151.6517265,forward,0.08408939652144909,11161.35498046875
10,1775421151.8324692,backward,0.18054146505892277,524.150390625
10,1775421151.8352568,optimizer,0.002266550436615944,524.150390625
11,1775421152.0709128,forward,0.08449829183518887,11161.35498046875
11,1775421152.2515333,backward,0.18042347207665443,524.150390625
11,1775421152.2542777,optimizer,0.002221686765551567,524.150390625
12,1775421152.487587,forward,0.08411026559770107,11161.35498046875
12,1775421152.668251,backward,0.18046008236706257,524.150390625
12,1775421152.6710017,optimizer,0.0022310148924589157,524.150390625
13,1775421152.9141617,forward,0.08432890847325325,11161.35498046875
13,1775421153.0947351,backward,0.18036732077598572,524.150390625
13,1775421153.0974832,optimizer,0.0022284984588623047,524.150390625
14,1775421153.3360791,forward,0.08404469676315784,11161.35498046875
14,1775421153.5167463,backward,0.1804719716310501,524.150390625
14,1775421153.5195007,optimizer,0.0022422373294830322,524.150390625
15,1775421153.7520618,forward,0.08417685888707638,11161.35498046875
15,1775421153.9331257,backward,0.18082506768405437,524.150390625
15,1775421153.9359734,optimizer,0.0023235399276018143,524.150390625
16,1775421154.167754,forward,0.08409427478909492,11161.35498046875
16,1775421154.348494,backward,0.1805417723953724,524.150390625
16,1775421154.3513777,optimizer,0.002308409661054611,524.150390625
17,1775421154.5753136,forward,0.0839782152324915,11161.35498046875
17,1775421154.7560575,backward,0.18054837360978127,524.150390625
17,1775421154.75878,optimizer,0.0022387485951185226,524.150390625
18,1775421154.9795709,forward,0.08402490429580212,11161.35498046875
18,1775421155.1602056,backward,0.18043951131403446,524.150390625
18,1775421155.1629734,optimizer,0.0022376570850610733,524.150390625
19,1775421155.3849282,forward,0.08412925526499748,11161.35498046875
19,1775421155.5662606,backward,0.1810607984662056,524.150390625
19,1775421155.5691125,optimizer,0.002335520461201668,524.150390625
20,1775421155.7994416,forward,0.08407914265990257,11161.35498046875
20,1775421155.9799967,backward,0.18035711906850338,524.150390625
20,1775421155.982764,optimizer,0.002247679978609085,524.150390625
21,1775421156.2146924,forward,0.0840400867164135,11161.35498046875
21,1775421156.3953276,backward,0.18043424934148788,524.150390625
21,1775421156.3984728,optimizer,0.002342740073800087,524.150390625
22,1775421156.6292624,forward,0.08420423977077007,11161.35498046875
22,1775421156.8099244,backward,0.1804580595344305,524.150390625
22,1775421156.8126483,optimizer,0.0022246558219194412,524.150390625
23,1775421157.0427833,forward,0.08404702693223953,11161.35498046875
23,1775421157.2234614,backward,0.1804868020117283,524.150390625
23,1775421157.226213,optimizer,0.0022324472665786743,524.150390625
24,1775421157.454995,forward,0.08402928337454796,11161.35498046875
24,1775421157.6365972,backward,0.18137816712260246,524.150390625
24,1775421157.63937,optimizer,0.0022624675184488297,524.150390625
25,1775421157.885796,forward,0.08409294486045837,11161.35498046875
25,1775421158.0666254,backward,0.18063106387853622,524.150390625
25,1775421158.0693746,optimizer,0.0022321082651615143,524.150390625
26,1775421158.3036797,forward,0.08408660441637039,11161.35498046875
26,1775421158.4842932,backward,0.18041355907917023,524.150390625
26,1775421158.4872952,optimizer,0.002396639436483383,524.150390625
27,1775421158.7219162,forward,0.08412200771272182,11161.35498046875
27,1775421158.902523,backward,0.18041197210550308,524.150390625
27,1775421158.90527,optimizer,0.002238728106021881,524.150390625
28,1775421159.137411,forward,0.08404332399368286,11161.35498046875
28,1775421159.317936,backward,0.1803121492266655,524.150390625
