step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775608458.5706477,0.44964065589010715,142.33588346966937,90.0,13317.25,1.1,21456.95703125
1,1775608459.0279357,0.26949034817516804,237.4853141619757,98.0,13317.25,1.3,21593.09375
2,1775608459.435601,0.2695154994726181,237.46315193461515,94.0,13317.25,1.4,21614.1953125
3,1775608459.852533,0.2711071949452162,236.06898375726533,87.0,13317.25,1.4,21588.5703125
4,1775608460.2614486,0.26946971006691456,237.50350265381425,81.0,13317.25,1.4,21599.4296875
5,1775608460.6700988,0.2696037292480469,237.3854403961797,77.0,13317.25,1.4,21593.7734375
6,1775608461.0770433,0.2692861035466194,237.66543894055854,74.0,13317.25,1.3,21599.875
7,1775608461.4915943,0.2692461144179106,237.70073762573355,66.0,13317.25,1.4,21600.56640625
8,1775608461.898723,0.2701172474771738,236.93414840312374,63.0,13317.25,1.4,21601.7421875
9,1775608462.310147,0.2694709673523903,237.50239452069232,57.0,13317.25,1.4,21600.89453125
10,1775608462.728072,0.26978761330246925,237.22364128054738,48.0,13317.25,1.4,21601.26953125
11,1775608463.133739,0.2692201528698206,237.7236596806582,45.0,13317.25,1.4,21602.6796875
12,1775608463.5389578,0.26969997957348824,237.30072245912496,42.0,13317.25,1.4,21604.23828125
13,1775608463.9563777,0.26954661682248116,237.43573840568482,99.0,13317.25,1.4,21604.8515625
14,1775608464.3676925,0.26963826827704906,237.35503275907783,99.0,13317.25,1.4,21604.01171875
15,1775608464.7753294,0.26923178508877754,237.71338877724406,100.0,13317.25,1.4,21605.71484375
16,1775608465.1811855,0.26981929689645767,237.1957852390365,99.0,13317.25,1.4,21607.34765625
17,1775608465.594304,0.2691554222255945,237.78083113019343,100.0,13317.25,1.4,21605.71484375
18,1775608466.0125768,0.2700982391834259,236.95082275800058,99.0,13317.25,1.4,21602.92578125
19,1775608466.4192793,0.26960226334631443,237.38673112617585,99.0,13317.25,1.4,21602.6640625
20,1775608466.8338213,0.26934539526700974,237.61312101346667,94.0,13317.25,1.4,21604.08984375
21,1775608467.2501414,0.26982275396585464,237.19274619848787,86.0,13317.25,1.4,21603.0
22,1775608467.6560256,0.26925218291580677,237.6953802451152,83.0,13317.25,1.4,21602.4296875
23,1775608468.072777,0.26949978806078434,237.4769956611807,75.0,13317.25,1.4,21601.1171875
24,1775608468.4978173,0.26935000717639923,237.60905251465596,62.0,13317.25,1.4,21600.578125
25,1775608468.911471,0.26921739615499973,237.72609390796023,55.0,13317.25,1.4,21599.80859375
26,1775608469.3178766,0.26988979429006577,237.13382778459416,52.0,13317.25,1.4,21598.55078125
27,1775608469.723319,0.2694281470030546,237.54014089431573,49.0,13317.25,1.4,21597.73046875
28,1775608470.1378233,0.2695400193333626,237.44155008331387,42.0,13317.25,1.4,21598.68359375
29,1775608470.5555654,0.26963979192078114,237.35369154565618,99.0,13317.25,1.4,21598.578125
30,1775608470.9728813,0.2692790348082781,237.67167780279243,100.0,13317.25,1.4,21600.91796875
31,1775608471.3810062,0.2699253670871258,237.10257650346088,100.0,13317.25,1.4,21602.27734375
32,1775608471.7975888,0.269418777897954,237.54840141187512,99.0,13317.25,1.4,21601.94921875
33,1775608472.2152338,0.2692709043622017,237.67885413238824,100.0,13317.25,1.4,21603.5
34,1775608472.6192844,0.26919116266071796,237.7492610359726,99.0,13317.25,1.5,21603.765625
35,1775608473.0261521,0.26987698301672935,237.14508471451498,97.0,13317.25,1.4,21605.73046875
36,1775608473.443947,0.2694142013788223,237.5524366290173,88.0,13317.25,1.3,21606.77734375
37,1775608473.8609953,0.26947710663080215,237.49698369621942,80.0,13317.25,1.4,21605.046875
38,1775608474.2748384,0.26979808509349823,237.21443381564725,73.0,13317.25,1.4,21604.53125
39,1775608474.7045755,0.26921698078513145,237.72646069112534,58.0,13317.25,1.4,21604.421875
40,1775608475.123054,0.2694121655076742,237.55423174525114,48.0,13317.25,1.4,21605.9296875
41,1775608475.5269482,0.2698327247053385,237.18398155705165,46.0,13317.25,1.4,21605.09375
42,1775608475.932713,0.26954674161970615,237.4356284755069,43.0,13317.25,1.4,21602.63671875
43,1775608476.3448188,0.2694482058286667,237.52245743545797,38.0,13317.25,1.3,21602.78515625
44,1775608476.7530458,0.2698157951235771,237.19886365691693,99.0,13317.25,1.4,21601.52734375
45,1775608477.1734471,0.26966970413923264,237.32736387383096,99.0,13317.25,1.4,21601.6484375
46,1775608477.5753062,0.2694785799831152,237.4956852006941,99.0,13317.25,1.4,21600.8984375
47,1775608477.9892526,0.26951298117637634,237.4653707611832,99.0,13317.25,1.4,21600.81640625
48,1775608478.395566,0.2692531645298004,237.69451368106988,99.0,13317.25,1.4,21599.78515625
49,1775608478.8126855,0.2700453493744135,236.99723082905248,99.0,13317.25,1.4,21598.765625
50,1775608479.2177796,0.2693563252687454,237.6034790946348,99.0,13317.25,1.4,21598.640625
51,1775608479.6211455,0.2691083699464798,237.82240594273713,99.0,13317.25,1.4,21599.890625
52,1775608480.0383391,0.2692122422158718,237.73064505989535,90.0,13317.25,1.4,21601.0546875
53,1775608480.4416993,0.26973882131278515,237.26655172777873,88.0,13317.25,1.4,21601.30078125
54,1775608480.8469841,0.269319387152791,237.63606726051006,86.0,13317.25,1.4,21602.0234375
55,1775608481.2542543,0.26964424923062325,237.3497680095585,82.0,13317.25,1.4,21601.71875
56,1775608481.6738133,0.2694217562675476,237.545775391818,72.0,13317.25,1.4,21500.35546875
57,1775608482.0905833,0.270107951015234,236.9423031030672,64.0,13317.25,1.3,20635.21484375
58,1775608482.520165,0.26942293532192707,237.54473583894378,49.0,13317.25,1.4,20397.7421875
59,1775608482.93534,0.26949188858270645,237.48395670305507,42.0,13317.25,1.1,20410.92578125
60,1775608483.3383315,0.26919420063495636,237.74657793162444,40.0,13317.25,1.0,20419.66015625
61,1775608483.756212,0.2695103269070387,237.46770943614086,100.0,13317.25,1.1,20407.13671875
62,1775608484.1641107,0.2696518898010254,237.34304271787317,99.0,13317.25,1.0,20414.88671875
63,1775608484.5789857,0.2693356368690729,237.6217300613328,99.0,13317.25,1.1,20403.03125
64,1775608484.9929824,0.269367516040802,237.59360794753627,99.0,13317.25,2.3,20400.0625
65,1775608485.3955245,0.26937915571033955,237.58334170747233,100.0,13317.25,1.5,20584.86328125
66,1775608485.8025436,0.26920490339398384,237.73712585886824,99.0,13317.25,1.4,20625.234375
67,1775608486.2180517,0.2693217433989048,237.6339882265156,99.0,13317.25,1.3,20652.671875
