step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775526741.3369527,0.7739156037569046,165.3927112706287,100.0,24989.25,1.1,21051.32421875
1,1775526742.3140893,0.5971690062433481,214.34468075498148,100.0,24989.25,1.3,21310.5390625
2,1775526743.189702,0.5968171637505293,214.4710436871823,100.0,24989.25,1.4,21311.33984375
3,1775526744.0798075,0.5970636066049337,214.38251902145376,100.0,24989.25,1.3,21311.83203125
4,1775526744.9520648,0.5971072465181351,214.36685075653733,100.0,24989.25,1.3,21312.17578125
5,1775526745.8448372,0.5966553594917059,214.52920511607226,100.0,24989.25,1.3,21314.80859375
6,1775526746.7395408,0.5969399344176054,214.42693413514223,100.0,24989.25,1.3,21312.11328125
7,1775526747.61821,0.5972814802080393,214.30431754792778,100.0,24989.25,1.3,21314.25390625
8,1775526748.5134156,0.5970890689641237,214.37337685994535,100.0,24989.25,1.3,21313.44140625
9,1775526749.387403,0.5969932954758406,214.40776801015176,100.0,24989.25,1.3,21313.3671875
10,1775526750.2775753,0.5972822587937117,214.3040381921145,100.0,24989.25,1.3,21313.29296875
11,1775526751.175954,0.5969503130763769,214.42320607950333,100.0,24989.25,1.3,21312.296875
12,1775526752.0836318,0.5973523035645485,214.2789091733512,100.0,24989.25,1.6,21347.9453125
13,1775526752.95821,0.5971033070236444,214.36826507968308,100.0,24989.25,2.2,21331.625
14,1775526753.8558648,0.5971491560339928,214.3518059208537,100.0,24989.25,1.8,21559.55859375
15,1775526754.7479165,0.5969519335776567,214.42262400067867,100.0,24989.25,1.8,21623.43359375
16,1775526755.6204746,0.5978174917399883,214.11216929676536,100.0,24989.25,1.8,21716.76953125
17,1775526756.4950094,0.5968717131763697,214.4514427042001,100.0,24989.25,1.7,21763.17578125
18,1775526757.3707035,0.5971667971462011,214.34547367954627,100.0,24989.25,1.6,21771.91796875
19,1775526758.2600827,0.5969924852252007,214.40805900884192,100.0,24989.25,1.7,21787.09765625
20,1775526759.1547348,0.5971427354961634,214.35411065269903,100.0,24989.25,1.7,21961.47265625
21,1775526760.056801,0.5972066484391689,214.3311705161601,100.0,24989.25,1.6,21959.734375
22,1775526760.96802,0.5969474632292986,214.42422974303324,100.0,24989.25,1.6,21960.0625
23,1775526761.861615,0.5970543157309294,214.38585506797497,100.0,24989.25,1.6,21955.06640625
24,1775526762.7563672,0.5973481629043818,214.28039449832394,100.0,24989.25,1.6,21952.73046875
25,1775526763.6280015,0.5973454117774963,214.28138138554647,100.0,24989.25,1.6,21955.48046875
26,1775526764.518972,0.597382441163063,214.26809892636396,100.0,24989.25,1.6,21955.3984375
27,1775526765.4092598,0.5976287852972746,214.17977706065446,100.0,24989.25,1.6,21955.8046875
28,1775526766.3054519,0.5972936600446701,214.29994751731869,100.0,24989.25,1.6,21954.98046875
29,1775526767.1807823,0.5976483449339867,214.17276745598326,100.0,24989.25,1.6,21951.53515625
30,1775526768.0746512,0.5972459111362696,214.31708047440296,100.0,24989.25,1.7,21955.05078125
31,1775526768.9708176,0.5979187116026878,214.07592289076072,100.0,24989.25,1.6,21954.43359375
32,1775526769.8628774,0.5973231717944145,214.28935967020342,100.0,24989.25,1.6,21955.32421875
33,1775526770.7357905,0.5976784061640501,214.16199528022884,100.0,24989.25,1.7,22056.91015625
34,1775526771.63176,0.5971203874796629,214.36213313744793,100.0,24989.25,1.6,22057.08203125
35,1775526772.502535,0.5974791441112757,214.23341929431604,100.0,24989.25,1.5,22055.76171875
36,1775526773.3772464,0.597624046728015,214.18147529504307,100.0,24989.25,1.6,22055.87109375
37,1775526774.2680361,0.5977222174406052,214.1462978372879,100.0,24989.25,1.6,22056.2890625
38,1775526775.1436064,0.5976167973130941,214.18407343215995,100.0,24989.25,1.6,22057.140625
39,1775526776.0412714,0.5977372508496046,214.140911944278,100.0,24989.25,1.6,22054.35546875
40,1775526776.9276752,0.5973856132477522,214.2669611745653,100.0,24989.25,1.6,22056.92578125
41,1775526777.8284612,0.5976335667073727,214.1780635000282,100.0,24989.25,1.5,22056.08984375
42,1775526778.7110064,0.5981013756245375,214.01054272169563,100.0,24989.25,1.6,22054.921875
43,1775526779.6160455,0.5978719722479582,214.09265853143884,100.0,24989.25,1.6,22056.32421875
44,1775526780.502829,0.5983746498823166,213.9128053388859,100.0,24989.25,1.5,22056.5859375
45,1775526781.3924055,0.5978059470653534,214.116304175888,100.0,24989.25,1.6,22055.47265625
46,1775526782.269388,0.5976815856993198,214.16085598527025,100.0,24989.25,1.7,22374.33203125
47,1775526783.1513543,0.5976980570703745,214.1549541375353,100.0,24989.25,1.8,22530.0078125
48,1775526784.045243,0.5974791441112757,214.23341929431604,100.0,24989.25,1.7,22537.1328125
49,1775526784.9427319,0.5974668934941292,214.23781199226858,100.0,24989.25,1.7,22540.3125
50,1775526785.8205209,0.5976272374391556,214.18033178755792,100.0,24989.25,1.7,22534.97265625
51,1775526786.7157042,0.5975117050111294,214.22174482358608,100.0,24989.25,1.8,22534.9296875
52,1775526787.6188574,0.5982609074562788,213.95347482127488,100.0,24989.25,1.7,22539.59375
53,1775526788.5225673,0.5976007059216499,214.18984069403322,100.0,24989.25,1.7,22539.09765625
54,1775526789.4000282,0.5977671202272177,214.1302116974012,100.0,24989.25,1.7,22533.1640625
55,1775526790.281284,0.5979382190853357,214.06893875390872,100.0,24989.25,1.7,22535.5703125
56,1775526791.1637511,0.5981271862983704,214.00130763517637,100.0,24989.25,1.7,22535.77734375
57,1775526792.0475192,0.5977615918964148,214.13219205656313,100.0,24989.25,1.8,22533.62109375
