step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775623437.6925488,forward,0.23851687461137772,12333.25
0,1775623437.971199,backward,0.2783765699714422,13317.25
0,1775623437.984771,optimizer,0.013357434421777725,13317.25
1,1775623438.0722947,forward,0.08424385450780392,13317.25
1,1775623438.2532878,backward,0.18079566210508347,13317.25
1,1775623438.2562652,optimizer,0.002791590988636017,13317.25
2,1775623438.3435597,forward,0.08370525389909744,13317.25
2,1775623438.5245447,backward,0.18082686327397823,13317.25
2,1775623438.527269,optimizer,0.0025425758212804794,13317.25
3,1775623438.6142068,forward,0.08384712040424347,13317.25
3,1775623438.7951648,backward,0.18080518394708633,13317.25
3,1775623438.7978702,optimizer,0.0025234930217266083,13317.25
4,1775623438.8850513,forward,0.08371247537434101,13317.25
4,1775623439.0665054,backward,0.18127433955669403,13317.25
4,1775623439.0692332,optimizer,0.002546524628996849,13317.25
5,1775623439.1561282,forward,0.08381758630275726,13317.25
5,1775623439.3369954,backward,0.1807106826454401,13317.25
5,1775623439.3396938,optimizer,0.0025229528546333313,13317.25
6,1775623439.4268394,forward,0.08376737497746944,13317.25
6,1775623439.6075735,backward,0.1805768385529518,13317.25
6,1775623439.6105328,optimizer,0.0027047377079725266,13317.25
7,1775623439.6977105,forward,0.08384360931813717,13317.25
7,1775623439.8784525,backward,0.1805876400321722,13317.25
7,1775623439.8811755,optimizer,0.0025420840829610825,13317.25
8,1775623439.9680517,forward,0.08379196561872959,13317.25
8,1775623440.148786,backward,0.18057170696556568,13317.25
8,1775623440.151655,optimizer,0.0026211347430944443,13317.25
9,1775623440.2385383,forward,0.08375235460698605,13317.25
9,1775623440.4192393,backward,0.18054652772843838,13317.25
9,1775623440.4219446,optimizer,0.0025281962007284164,13317.25
10,1775623440.508866,forward,0.08383554592728615,13317.25
10,1775623440.6895745,backward,0.18055018782615662,13317.25
10,1775623440.692269,optimizer,0.0025132130831480026,13317.25
11,1775623440.7791748,forward,0.08378196507692337,13317.25
11,1775623440.9599276,backward,0.1805927287787199,13317.25
11,1775623440.9634728,optimizer,0.0033065974712371826,13317.25
12,1775623441.0506337,forward,0.08386559784412384,13317.25
12,1775623441.2314095,backward,0.1806202083826065,13317.25
12,1775623441.2340884,optimizer,0.002513345330953598,13317.25
13,1775623441.3212655,forward,0.08371826447546482,13317.25
13,1775623441.5019524,backward,0.18052953109145164,13317.25
13,1775623441.5046434,optimizer,0.002523064613342285,13317.25
14,1775623441.5915594,forward,0.08382253721356392,13317.25
14,1775623441.7722745,backward,0.18055878020823002,13317.25
14,1775623441.7752745,optimizer,0.0028138477355241776,13317.25
15,1775623441.8626745,forward,0.08376709558069706,13317.25
15,1775623442.0434227,backward,0.1805922668427229,13317.25
15,1775623442.0461092,optimizer,0.0025201942771673203,13317.25
16,1775623442.1331081,forward,0.08388598822057247,13317.25
16,1775623442.3138936,backward,0.1806286722421646,13317.25
16,1775623442.316638,optimizer,0.0025757327675819397,13317.25
17,1775623442.403819,forward,0.08371997252106667,13317.25
17,1775623442.5845373,backward,0.18055617809295654,13317.25
17,1775623442.5875037,optimizer,0.0027734674513339996,13317.25
18,1775623442.6745946,forward,0.083930728957057,13317.25
18,1775623442.8554442,backward,0.18069074302911758,13317.25
18,1775623442.8581364,optimizer,0.0025287438184022903,13317.25
19,1775623442.9453616,forward,0.08374073728919029,13317.25
19,1775623443.126163,backward,0.18064535036683083,13317.25
19,1775623443.1288538,optimizer,0.002527402713894844,13317.25
20,1775623443.215749,forward,0.08380909636616707,13317.25
20,1775623443.3966095,backward,0.18064657971262932,13317.25
20,1775623443.3994143,optimizer,0.00263296440243721,13317.25
21,1775623443.4868257,forward,0.0838244054466486,13317.25
21,1775623443.667638,backward,0.18065845221281052,13317.25
21,1775623443.6703403,optimizer,0.0025339554995298386,13317.25
22,1775623443.7572298,forward,0.08380910567939281,13317.25
22,1775623443.9379866,backward,0.1806008405983448,13317.25
22,1775623443.9406154,optimizer,0.0024614445865154266,13317.25
23,1775623444.02756,forward,0.08387690596282482,13317.25
23,1775623444.2085583,backward,0.1807762235403061,13317.25
23,1775623444.211339,optimizer,0.0026092156767845154,13317.25
24,1775623444.2982783,forward,0.08378828689455986,13317.25
24,1775623444.4791882,backward,0.1807519607245922,13317.25
24,1775623444.4818084,optimizer,0.002451164647936821,13317.25
25,1775623444.5687475,forward,0.0838322564959526,13317.25
25,1775623444.749518,backward,0.1806074194610119,13317.25
25,1775623444.7521582,optimizer,0.0024637430906295776,13317.25
26,1775623444.8389623,forward,0.08373081497848034,13317.25
26,1775623445.0197067,backward,0.18058943003416061,13317.25
26,1775623445.0231225,optimizer,0.003178536891937256,13317.25
27,1775623445.1102858,forward,0.0839097872376442,13317.25
27,1775623445.291138,backward,0.18069897964596748,13317.25
27,1775623445.293834,optimizer,0.002529684454202652,13317.25
28,1775623445.3812091,forward,0.08378856256604195,13317.25
28,1775623445.5620015,backward,0.18063372001051903,13317.25
28,1775623445.5646853,optimizer,0.0025169234722852707,13317.25
29,1775623445.651595,forward,0.08380495570600033,13317.25
29,1775623445.8323338,backward,0.18058570846915245,13317.25
29,1775623445.8349671,optimizer,0.002466803416609764,13317.25
30,1775623445.9221318,forward,0.08378868363797665,13317.25
30,1775623446.1030188,backward,0.1807357408106327,13317.25
30,1775623446.105941,optimizer,0.0027326662093400955,13317.25
31,1775623446.1930563,forward,0.08394801989197731,13317.25
31,1775623446.3739686,backward,0.1807532925158739,13317.25
31,1775623446.3766198,optimizer,0.0024887435138225555,13317.25
32,1775623446.463949,forward,0.0838136151432991,13317.25
32,1775623446.644755,backward,0.18065061047673225,13317.25
32,1775623446.647471,optimizer,0.0025482773780822754,13317.25
33,1775623446.7343948,forward,0.08383437618613243,13317.25
33,1775623446.9151924,backward,0.18064279109239578,13317.25
33,1775623446.9178185,optimizer,0.0024573933333158493,13317.25
34,1775623447.005177,forward,0.08384033851325512,13317.25
34,1775623447.1859853,backward,0.18065002001821995,13317.25
34,1775623447.188872,optimizer,0.0026933979243040085,13317.25
35,1775623447.275957,forward,0.08394236862659454,13317.25
35,1775623447.4567485,backward,0.18063375912606716,13317.25
35,1775623447.459364,optimizer,0.0024505313485860825,13317.25
36,1775623447.5462527,forward,0.0837986059486866,13317.25
36,1775623447.7270412,backward,0.1806317400187254,13317.25
36,1775623447.7296643,optimizer,0.002456292510032654,13317.25
37,1775623447.8165543,forward,0.0838179849088192,13317.25
37,1775623447.9973614,backward,0.18064654059708118,13317.25
37,1775623448.0000043,optimizer,0.0024598445743322372,13317.25
38,1775623448.086987,forward,0.08386596851050854,13317.25
38,1775623448.2679691,backward,0.18076291121542454,13317.25
38,1775623448.2707026,optimizer,0.0025677960366010666,13317.25
39,1775623448.357789,forward,0.08383357524871826,13317.25
39,1775623448.5386093,backward,0.18066255003213882,13317.25
39,1775623448.5412326,optimizer,0.0024587437510490417,13317.25
40,1775623448.6281836,forward,0.0838765986263752,13317.25
40,1775623448.8090208,backward,0.18068058043718338,13317.25
40,1775623448.8117034,optimizer,0.002514224499464035,13317.25
41,1775623448.8989563,forward,0.0837840661406517,13317.25
41,1775623449.079859,backward,0.18074409291148186,13317.25
41,1775623449.082708,optimizer,0.002617424353957176,13317.25
42,1775623449.1698782,forward,0.08397718891501427,13317.25
42,1775623449.3507128,backward,0.18067840114235878,13317.25
42,1775623449.353372,optimizer,0.0022181402891874313,13317.25
43,1775623449.4405863,forward,0.08377496525645256,13317.25
43,1775623449.6214607,backward,0.18072606064379215,13317.25
43,1775623449.6241078,optimizer,0.0024717822670936584,13317.25
44,1775623449.7111478,forward,0.08391617797315121,13317.25
44,1775623449.8919368,backward,0.18063241988420486,13317.25
44,1775623449.8945842,optimizer,0.0022126585245132446,13317.25
45,1775623449.9817805,forward,0.08380833640694618,13317.25
45,1775623450.162613,backward,0.1806763205677271,13317.25
45,1775623450.1652215,optimizer,0.002443535253405571,13317.25
46,1775623450.2522087,forward,0.0838684756308794,13317.25
46,1775623450.4330723,backward,0.18070608004927635,13317.25
46,1775623450.4365473,optimizer,0.0032286960631608963,13317.25
47,1775623450.5240743,forward,0.08387214504182339,13317.25
47,1775623450.7049108,backward,0.1806854922324419,13317.25
47,1775623450.7075465,optimizer,0.0024695731699466705,13317.25
48,1775623450.7945166,forward,0.08384416438639164,13317.25
48,1775623450.9753182,backward,0.18064942955970764,13317.25
48,1775623450.9780076,optimizer,0.002525763586163521,13317.25
49,1775623451.06492,forward,0.08383154310286045,13317.25
49,1775623451.2457929,backward,0.18071589060127735,13317.25
