step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775750083.2567728,0.5737875644117594,111.53953827077463,45.0,13317.25,3.1,25703.84375
1,1775750083.529123,0.26719520799815655,239.52525376294005,99.0,13317.25,4.5,25710.11328125
2,1775750083.797756,0.26730817183852196,239.42403092211384,97.0,13317.25,3.5,25717.09765625
3,1775750084.0663927,0.2672596499323845,239.46749917614468,98.0,13317.25,3.2,25718.61328125
4,1775750084.3347616,0.26703081652522087,239.6727120592662,99.0,13317.25,3.4,25733.96875
5,1775750084.603818,0.2676969785243273,239.0762882450088,97.0,13317.25,3.8,25743.26171875
6,1775750084.8724537,0.26696956530213356,239.72770052485276,98.0,13317.25,3.4,25736.265625
7,1775750085.1411724,0.26720190793275833,239.5192478045691,99.0,13317.25,3.4,25745.70703125
8,1775750085.413158,0.2672320790588856,239.49220552184292,96.0,13317.25,4.3,25744.59765625
9,1775750085.6815886,0.2671160474419594,239.59623771352156,99.0,13317.25,2.7,25747.28125
10,1775750085.9526978,0.26752619445323944,239.22891039062898,97.0,13317.25,3.0,25744.875
11,1775750086.221335,0.26722846925258636,239.49544065795894,97.0,13317.25,4.0,25771.3046875
12,1775750086.4910831,0.2680405341088772,238.76985700231222,99.0,13317.25,3.2,25684.32421875
13,1775750086.7687705,0.2671872079372406,239.53242557567694,92.0,13317.25,2.7,25737.6953125
14,1775750087.037404,0.26728344336152077,239.44618190747877,97.0,13317.25,3.7,25754.97265625
15,1775750087.3059916,0.26729272305965424,239.43786896778525,99.0,13317.25,3.9,25750.2421875
16,1775750087.5748782,0.2675239760428667,239.23089416757531,97.0,13317.25,3.4,25743.1328125
17,1775750087.8435013,0.26724779047071934,239.4781258519407,97.0,13317.25,3.3,25745.19140625
18,1775750088.1127026,0.26761586777865887,239.14874903058237,99.0,13317.25,3.9,25746.4375
19,1775750088.381592,0.2674060333520174,239.33640986981553,97.0,13317.25,3.5,25756.94140625
20,1775750088.6503396,0.26714126765727997,239.5736179634615,97.0,13317.25,3.4,25762.03125
21,1775750088.91933,0.26766284741461277,239.10677413090238,99.0,13317.25,4.0,25779.19140625
