step,wall_timestamp,phase,duration_sec,gpu_mem_mb,nvml_mem_query_sec,nvml_util_query_sec,psutil_query_sec,gpu_util_pct,cpu_util_pct,ram_mb
0,1775663100.7465649,forward,0.17547476664185524,6743.25,0.0001376233994960785,0.0,0.0,,,
0,1775663100.8733473,backward,0.12655696645379066,7523.25,0.0001115705817937851,0.0,0.0,,,
0,1775663100.89476,optimizer,0.012226855382323265,7523.25,4.345923662185669e-05,0.008527755737304688,0.0005701277405023575,50.0,0.4,20379.0546875
1,1775663101.032171,forward,0.0359934326261282,7523.25,7.625110447406769e-05,0.0,0.0,,,
1,1775663101.1133065,backward,0.08098256029188633,7523.25,9.807012975215912e-05,0.0,0.0,,,
1,1775663101.1169431,optimizer,0.002557380124926567,7523.25,2.4572014808654785e-05,0.0004948955029249191,0.0004854761064052582,44.0,0.9,20444.3984375
2,1775663101.224766,forward,0.035897862166166306,7523.25,8.836016058921814e-05,0.0,0.0,,,
2,1775663101.306317,backward,0.08140690810978413,7523.25,9.227171540260315e-05,0.0,0.0,,,
2,1775663101.3101895,optimizer,0.0024928301572799683,7523.25,2.5270506739616394e-05,0.000813683494925499,0.0004719756543636322,62.0,0.9,20477.375
3,1775663101.4141514,forward,0.03589107096195221,7523.25,8.920207619667053e-05,0.0,0.0,,,
3,1775663101.4952219,backward,0.08092441968619823,7523.25,9.432248771190643e-05,0.0,0.0,,,
3,1775663101.4988544,optimizer,0.0025649797171354294,7523.25,2.4339184165000916e-05,0.0005064364522695541,0.0004682857543230057,64.0,0.9,20495.5859375
4,1775663101.5990202,forward,0.035865720361471176,7523.25,9.007193148136139e-05,0.0,0.0,,,
4,1775663101.680275,backward,0.08110679313540459,7523.25,9.414181113243103e-05,0.0,0.0,,,
4,1775663101.6842804,optimizer,0.002602720633149147,7523.25,2.5622546672821045e-05,0.0008336324244737625,0.0004732683300971985,64.0,0.8,20495.5859375
5,1775663101.797042,forward,0.03634725697338581,7523.25,8.692033588886261e-05,0.0,0.0,,,
5,1775663101.8782597,backward,0.08107516169548035,7523.25,9.188242256641388e-05,0.0,0.0,,,
5,1775663101.8818038,optimizer,0.0024786125868558884,7523.25,2.4721026420593262e-05,0.0004936866462230682,0.00047831982374191284,65.0,0.8,20495.5859375
6,1775663101.987889,forward,0.035869430750608444,7523.25,8.825212717056274e-05,0.0,0.0,,,
6,1775663102.0694094,backward,0.08137686736881733,7523.25,9.126029908657074e-05,0.0,0.0,,,
6,1775663102.0730479,optimizer,0.0025739092379808426,7523.25,2.8781592845916748e-05,0.0004938077181577682,0.00047382526099681854,59.0,0.8,20495.5859375
7,1775663102.1779542,forward,0.03589835204184055,7523.25,8.754432201385498e-05,0.0,0.0,,,
7,1775663102.2591736,backward,0.08107347413897514,7523.25,9.399093687534332e-05,0.0,0.0,,,
7,1775663102.2627864,optimizer,0.002557322382926941,7523.25,2.430938184261322e-05,0.0004927795380353928,0.00046815723180770874,59.0,0.8,20495.5859375
8,1775663102.365087,forward,0.03592371195554733,7523.25,8.618272840976715e-05,0.0,0.0,,,
8,1775663102.4465978,backward,0.08135614730417728,7523.25,9.308196604251862e-05,0.0,0.0,,,
