step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1774705802.4856153,0.5837480798363686,109.63633493739277,34.0,482.5244140625,0.6,17807.37890625
1,1774705802.756909,0.26952527090907097,237.45454288622722,99.0,487.3994140625,1.1,17785.28125
2,1774705803.0278788,0.2695638034492731,237.4206001735823,97.0,487.3994140625,1.0,17783.15234375
3,1774705803.298546,0.269298130646348,237.6548245856452,97.0,487.3994140625,1.0,17785.69921875
4,1774705803.5696428,0.2697206363081932,237.28254862513052,99.0,487.3994140625,0.9,17788.015625
5,1774705803.8410301,0.26950244419276714,237.47465516202402,97.0,487.3994140625,0.9,17787.39453125
6,1774705804.111956,0.2695437725633383,237.43824385688995,98.0,487.3994140625,1.0,17788.95703125
7,1774705804.3830297,0.2692364975810051,237.70922803935355,99.0,487.3994140625,1.0,17788.5234375
8,1774705804.653847,0.2693817038089037,237.5810943916253,97.0,487.3994140625,0.9,17788.36328125
9,1774705804.9247403,0.2693450525403023,237.61342336304335,98.0,487.3994140625,1.0,17785.79296875
10,1774705805.1956637,0.26928639225661755,237.66518413233055,99.0,487.3994140625,1.0,17786.7734375
11,1774705805.4674287,0.27028594724833965,236.7862652555761,97.0,487.3994140625,0.9,17782.48046875
12,1774705805.7387915,0.2695740628987551,237.41156442056044,99.0,487.3994140625,1.0,17785.7109375
13,1774705806.009622,0.2694322522729635,237.53652155630274,98.0,487.3994140625,1.0,17785.27734375
14,1774705806.2810423,0.2696268670260906,237.36506938608235,97.0,487.3994140625,1.0,17784.87109375
15,1774705806.5520012,0.2695934362709522,237.39450368397482,99.0,487.3994140625,0.9,17786.21484375
16,1774705806.8230789,0.2693856284022331,237.57763314841134,97.0,487.3994140625,1.0,17785.34765625
17,1774705807.0942187,0.269603606313467,237.38554863983333,97.0,487.3994140625,1.0,17785.34375
18,1774705807.3653076,0.26966926641762257,237.3277490987296,99.0,487.3994140625,1.0,17784.6171875
19,1774705807.6361003,0.2692965380847454,237.65623002498356,97.0,487.3994140625,0.9,17786.6484375
20,1774705807.9070733,0.2695955466479063,237.39264537475634,98.0,487.3994140625,0.9,17786.18359375
21,1774705808.1783657,0.26941341534256935,237.5531297081906,99.0,487.3994140625,1.0,17783.75
22,1774705808.4491408,0.26942173950374126,237.54579017225623,98.0,487.3994140625,1.0,17782.9140625
23,1774705808.7205184,0.269606776535511,237.3827572971642,98.0,487.3994140625,0.9,17782.52734375
24,1774705808.9916775,0.2695567347109318,237.4268261879361,99.0,487.3994140625,0.9,17782.6015625
25,1774705809.2628539,0.26941128447651863,237.55500859719228,97.0,487.3994140625,1.0,17782.4296875
26,1774705809.5336733,0.26941395178437233,237.55265670585214,99.0,487.3994140625,1.0,17781.09375
27,1774705809.8053603,0.2703704684972763,236.71224285593428,98.0,487.3994140625,1.0,17783.42578125
28,1774705810.076407,0.2694687433540821,237.50435469209117,97.0,487.3994140625,0.9,17785.8046875
29,1774705810.3472648,0.2694657929241657,237.50695517041441,99.0,487.3994140625,1.0,17785.96875
30,1774705810.618504,0.2693488113582134,237.61010741898122,97.0,487.3994140625,0.9,17787.64453125
31,1774705810.8897984,0.26980915665626526,237.20469977056968,97.0,487.3994140625,0.9,17789.609375
32,1774705811.16111,0.2696132753044367,237.3770354139043,99.0,487.3994140625,1.0,17789.06640625
33,1774705811.4319372,0.2694549225270748,237.51653671708033,98.0,487.3994140625,0.9,17791.640625
34,1774705811.7026854,0.2693809624761343,237.58174821158735,98.0,487.3994140625,1.0,17790.9140625
35,1774705811.9743655,0.2701928745955229,236.86783041857643,99.0,487.3994140625,1.0,17790.37109375
36,1774705812.2452052,0.26942978240549564,237.53869905769767,97.0,487.3994140625,0.9,17792.2578125
37,1774705812.5162354,0.26946658082306385,237.50626071892546,98.0,487.3994140625,1.0,17795.109375
38,1774705812.7872376,0.2695738635957241,237.4117399451597,99.0,487.3994140625,1.0,17792.3515625
39,1774705813.058652,0.269682127982378,237.31643056518,97.0,487.3994140625,1.0,17792.0546875
40,1774705813.3301425,0.2696912158280611,237.30843365993258,99.0,487.3994140625,1.0,17791.01953125
41,1774705813.60148,0.26944974437355995,237.5211011938153,97.0,487.3994140625,0.9,17790.9375
42,1774705813.8724964,0.26963233575224876,237.3602551097814,98.0,487.3994140625,0.9,17790.1953125
43,1774705814.1435554,0.2696233745664358,237.36814400055013,99.0,487.3994140625,0.9,17792.23828125
44,1774705814.4143608,0.26946758292615414,237.50537747443553,98.0,487.3994140625,1.0,17791.109375
45,1774705814.685358,0.2695135734975338,237.46484887369,97.0,487.3994140625,0.9,17790.07421875
46,1774705814.9567158,0.26948258094489574,237.49215914288288,99.0,487.3994140625,1.0,17792.609375
47,1774705815.2286208,0.2704347986727953,236.65593449545275,98.0,487.3994140625,1.0,17792.4375
48,1774705815.499575,0.26919837668538094,237.7428897901507,97.0,487.3994140625,0.9,17794.65234375
49,1774705815.7705452,0.2696025315672159,237.38649495597875,99.0,487.3994140625,1.0,17793.68359375
50,1774705816.0417438,0.26949077285826206,237.48493991540343,97.0,487.3994140625,1.0,17793.84765625
51,1774705816.3125768,0.26945195347070694,237.51915388120452,98.0,487.3994140625,0.9,17792.84375
52,1774705816.5836635,0.2696996070444584,237.3010502364209,99.0,487.3994140625,1.0,17791.82421875
53,1774705816.8549328,0.26976211555302143,237.24606351339528,97.0,487.3994140625,0.9,17791.359375
54,1774705817.1259494,0.26962360367178917,237.36794230339984,99.0,487.3994140625,1.0,17793.69140625
55,1774705817.4004843,0.26955064572393894,237.43218951716324,96.0,487.3994140625,0.9,17795.57421875
56,1774705817.6713598,0.26948029547929764,237.49417331671543,98.0,487.3994140625,0.9,17795.4921875
57,1774705817.9428356,0.2699990291148424,237.0378893946985,99.0,487.3994140625,1.0,17794.9140625
58,1774705818.2139626,0.2697619665414095,237.24619456381282,97.0,487.3994140625,0.9,17797.29296875
59,1774705818.4850113,0.26968137733638287,237.31709112480019,97.0,487.3994140625,0.9,17796.80078125
60,1774705818.7563467,0.269419651478529,237.54763117233261,99.0,487.3994140625,1.0,17796.69140625
61,1774705819.027339,0.26950917206704617,237.46872697927563,98.0,487.3994140625,0.9,17796.4609375
62,1774705819.299055,0.26991737075150013,237.10960069673214,97.0,487.3994140625,0.9,17795.88671875
63,1774705819.5704224,0.26967762783169746,237.3203906997492,99.0,487.3994140625,0.9,17793.8359375
64,1774705819.8414009,0.26960439421236515,237.384854898128,98.0,487.3994140625,1.0,17793.5859375
65,1774705820.1122997,0.2695280071347952,237.45213226762218,98.0,487.3994140625,0.9,17793.50390625
66,1774705820.3834317,0.26963306590914726,237.3596123465242,99.0,487.3994140625,0.9,17791.68359375
67,1774705820.6549723,0.2698139064013958,237.2005240707968,97.0,487.3994140625,1.0,17791.41796875
68,1774705820.9261816,0.26975784823298454,237.24981652702263,99.0,487.3994140625,0.9,17790.62890625
69,1774705821.199166,0.26945057325065136,237.52037053736456,97.0,487.3994140625,1.0,17790.2109375
70,1774705821.4701717,0.26962609589099884,237.36574825410497,98.0,487.3994140625,1.0,17790.0078125
71,1774705821.7412426,0.2696179747581482,237.37289792124974,99.0,487.3994140625,1.0,17789.7109375
72,1774705822.012174,0.269515672698617,237.4629993097556,98.0,487.3994140625,0.9,17789.16796875
73,1774705822.2832122,0.2696465253829956,237.34776448202643,98.0,487.3994140625,0.9,17790.80859375
74,1774705822.5551665,0.2702604569494724,236.80859835135024,99.0,487.3994140625,1.0,17793.046875
75,1774705822.8264794,0.26967416889965534,237.3234346512963,97.0,487.3994140625,1.0,17792.55078125
76,1774705823.09777,0.26962947472929955,237.36277372588518,97.0,487.3994140625,1.0,17792.22265625
77,1774705823.3688984,0.26975041814148426,237.25635141159248,99.0,487.3994140625,0.9,17791.40625
78,1774705823.6399615,0.26969798654317856,237.30247607819504,98.0,487.3994140625,0.9,17791.4375
79,1774705823.9109523,0.2695003841072321,237.47647043996383,98.0,487.3994140625,0.9,17791.265625
80,1774705824.1824481,0.27001396007835865,237.0247819091541,99.0,487.3994140625,0.9,17790.4765625
81,1774705824.4538953,0.26975535787642,237.2520067954298,97.0,487.3994140625,1.0,17789.2734375
82,1774705824.7250285,0.2696438357234001,237.35013199282264,99.0,487.3994140625,0.9,17788.79296875
83,1774705824.997971,0.26954604499042034,237.43624211690644,97.0,487.3994140625,1.0,17788.7109375
84,1774705825.269163,0.26972150802612305,237.28178174727347,97.0,487.3994140625,1.0,17791.04296875
85,1774705825.5401351,0.2696004342287779,237.3883416882437,99.0,487.3994140625,1.0,17790.80859375
86,1774705825.81115,0.2695851568132639,237.40179450729732,97.0,487.3994140625,0.9,17790.48046875
87,1774705826.0829508,0.27040743827819824,236.67987984175227,97.0,487.3994140625,1.0,17789.90625
88,1774705826.3544672,0.2697525769472122,237.25445267024875,99.0,487.3994140625,0.9,17788.4140625
89,1774705826.6258092,0.26984558813273907,237.1726750949062,97.0,487.3994140625,1.0,17787.984375
90,1774705826.8971481,0.26966552808880806,237.33103913423852,97.0,487.3994140625,0.9,17787.8125
91,1774705827.1682951,0.26959842443466187,237.39011136361677,99.0,487.3994140625,0.9,17783.45703125
92,1774705827.439251,0.26956882514059544,237.41617735886325,98.0,487.3994140625,0.9,17783.16015625
93,1774705827.7103965,0.26977631635963917,237.233575072919,98.0,487.3994140625,1.0,17782.52734375
94,1774705827.9819012,0.26985918916761875,237.1607214762934,99.0,487.3994140625,0.9,17782.38671875
95,1774705828.253209,0.26960025541484356,237.38849913743928,97.0,487.3994140625,1.0,17784.921875
96,1774705828.5244026,0.26972538977861404,237.27836690691262,99.0,487.3994140625,0.9,17788.0234375
97,1774705828.7971082,0.2696798238903284,237.3184581506813,97.0,487.3994140625,1.0,17787.421875
98,1774705829.0681648,0.26957215555012226,237.41324421802278,97.0,487.3994140625,0.9,17786.60546875
99,1774705829.339937,0.2702849078923464,236.78717579559046,99.0,487.3994140625,0.9,17789.15625
100,1774705829.6115146,0.269777525216341,237.2325120436807,97.0,487.3994140625,0.9,17788.3359375
101,1774705829.8827236,0.26974340714514256,237.2625180253733,97.0,487.3994140625,1.0,17787.75
102,1774705830.1540496,0.2696733381599188,237.32416573583336,99.0,487.3994140625,0.9,17790.0390625
103,1774705830.4253185,0.26978788897395134,237.2233988834812,97.0,487.3994140625,0.9,17788.1484375
104,1774705830.696611,0.26962796598672867,237.36410192387143,97.0,487.3994140625,0.9,17788.0078125
105,1774705830.9676025,0.26958712562918663,237.40006074337214,99.0,487.3994140625,0.9,17790.00390625
106,1774705831.2380195,0.2690364867448807,237.88594913034714,98.0,487.3994140625,0.9,17789.6171875
107,1774705831.5090926,0.26969750598073006,237.3028989173256,98.0,487.3994140625,0.9,17789.6328125
108,1774705831.7812142,0.27073208428919315,236.39606723389267,99.0,487.3994140625,0.9,17789.5234375
109,1774705832.053156,0.2698698379099369,237.15136339674456,97.0,487.3994140625,0.9,17788.70703125
110,1774705832.3242705,0.2697278559207916,237.2761974528662,99.0,487.3994140625,0.9,17788.84375
111,1774705832.5958736,0.26967703551054,237.32091195247003,97.0,487.3994140625,1.0,17790.1484375
112,1774705832.8670244,0.26967515610158443,237.32256587956408,98.0,487.3994140625,0.9,17789.40625
113,1774705833.1383193,0.2698209807276726,237.19430500697243,99.0,487.3994140625,0.9,17789.109375
114,1774705833.4093227,0.269668148830533,237.328732657335,98.0,487.3994140625,0.9,17787.85546875
115,1774705833.6805472,0.2698355186730623,237.181525674326,98.0,487.3994140625,0.9,17787.55859375
116,1774705833.9523582,0.26991061121225357,237.11553877987916,99.0,487.3994140625,0.9,17786.89453125
117,1774705834.2236679,0.2698133811354637,237.20098584683564,97.0,487.3994140625,1.0,17786.8125
118,1774705834.495236,0.26972207613289356,237.281281968432,97.0,487.3994140625,0.9,17785.84375
119,1774705834.7664218,0.26973556727170944,237.2694140685261,99.0,487.3994140625,1.0,17786.25390625
120,1774705835.0376992,0.2699142303317785,237.11235943851946,98.0,487.3994140625,0.9,17788.8515625
121,1774705835.30902,0.2698266990482807,237.1892782505868,98.0,487.3994140625,0.9,17788.5234375
122,1774705835.5802963,0.2698856797069311,237.13744304439422,99.0,487.3994140625,0.9,17790.1796875
123,1774705835.8516374,0.26960815489292145,237.38154369039196,97.0,487.3994140625,1.0,17789.4375
124,1774705836.1228118,0.26978911831974983,237.22231792962162,99.0,487.3994140625,0.9,17788.95703125
125,1774705836.395444,0.2704683989286423,236.62653475789284,97.0,487.3994140625,0.9,17788.13671875
126,1774705836.666649,0.2698030602186918,237.2100596195021,97.0,487.3994140625,0.9,17788.30078125
127,1774705836.9380002,0.2698711697012186,237.1501930749256,99.0,487.3994140625,1.0,17787.51171875
128,1774705837.2094553,0.2697425466030836,237.26327494851483,97.0,487.3994140625,0.9,17786.84765625
129,1774705837.4807918,0.2699510511010885,237.08001779935256,98.0,487.3994140625,1.0,17788.515625
130,1774705837.7522523,0.2696754653006792,237.32229377500886,99.0,487.3994140625,0.9,17790.84765625
131,1774705838.0236356,0.26987235993146896,237.1491471607247,97.0,487.3994140625,0.9,17790.55078125
132,1774705838.2948966,0.2697034180164337,237.2976971174326,97.0,487.3994140625,1.0,17789.26953125
133,1774705838.5661497,0.2698608376085758,237.15927278351472,99.0,487.3994140625,1.0,17792.00390625
134,1774705838.8374658,0.2698114961385727,237.20264301536727,97.0,487.3994140625,0.9,17792.16796875
135,1774705839.108892,0.2697063572704792,237.2951110522642,98.0,487.3994140625,1.0,17794.546875
136,1774705839.380371,0.2699917405843735,237.04428832333022,99.0,487.3994140625,0.9,17793.7265625
137,1774705839.6519294,0.26979915983974934,237.21348887080902,97.0,487.3994140625,0.9,17793.37109375
138,1774705839.9231007,0.2697748690843582,237.2348477722263,99.0,487.3994140625,0.9,17792.73828125
139,1774705840.1944137,0.2697658259421587,237.24280040468295,97.0,487.3994140625,0.9,17792.56640625
140,1774705840.4655612,0.2697657160460949,237.24289705169323,98.0,487.3994140625,1.0,17792.15234375
141,1774705840.7369385,0.27001094073057175,237.02743239527427,99.0,487.3994140625,0.9,17794.2578125
142,1774705841.0086763,0.2699201703071594,237.10714144545148,97.0,487.3994140625,0.9,17793.71484375
