step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775341327.8338785,0.937716556712985,136.50180225961188,71.0,480.2119140625,0.6,19819.24609375
1,1775341328.4354258,0.599687559530139,213.44448115663639,100.0,481.9619140625,0.9,19775.22265625
2,1775341329.03683,0.6000075042247772,213.33066519789415,100.0,481.9619140625,0.9,19781.04296875
3,1775341329.6384652,0.5999356377869844,213.35622013081377,100.0,481.9619140625,0.9,19790.484375
4,1775341330.2405133,0.6001926381140947,213.26486176537807,100.0,481.9619140625,0.9,19780.8671875
5,1775341330.8427308,0.6004665642976761,213.16757270192502,100.0,481.9619140625,0.9,19830.6484375
6,1775341331.444035,0.599804662168026,213.40280940354342,100.0,481.9619140625,0.9,19777.76953125
7,1775341332.04535,0.599920004606247,213.3617799326626,100.0,481.9619140625,0.9,19828.46484375
8,1775341332.646838,0.6000932157039642,213.30019512026027,100.0,481.9619140625,0.9,19830.17578125
9,1775341333.2485027,0.6002596113830805,213.24106698611695,100.0,481.9619140625,0.9,19827.12890625
10,1775341333.8499875,0.5999116059392691,213.3647669636147,100.0,481.9619140625,0.9,19848.0234375
11,1775341334.4516084,0.6002262402325869,213.25292268195435,100.0,481.9619140625,0.9,19831.19140625
12,1775341335.052764,0.5997080281376839,213.43719609271787,100.0,481.9619140625,0.9,19835.38671875
13,1775341335.654236,0.599969794973731,213.34407343890425,100.0,481.9619140625,0.9,19839.3359375
14,1775341336.2565382,0.600342933088541,213.21147121943724,100.0,481.9619140625,0.9,19835.671875
15,1775341336.8584118,0.6001622471958399,213.27566103675983,100.0,481.9619140625,0.9,19835.4453125
16,1775341337.4604979,0.6002204995602369,213.25496229099414,100.0,481.9619140625,0.9,19830.2578125
17,1775341338.0619078,0.5999650545418262,213.3457591088358,100.0,481.9619140625,0.9,19841.265625
18,1775341338.6635609,0.6002753470093012,213.23547708184768,100.0,481.9619140625,0.9,19836.86328125
19,1775341339.2653959,0.6001164000481367,213.29195467701405,100.0,481.9619140625,0.9,19835.87890625
20,1775341339.8667896,0.5999937690794468,213.33554879475952,100.0,481.9619140625,0.9,19832.67578125
21,1775341340.4682214,0.5998672842979431,213.38053157842285,100.0,481.9619140625,0.9,19826.53515625
22,1775341341.070571,0.6009414102882147,212.99913403972366,100.0,481.9619140625,0.9,19831.23828125
23,1775341341.6726942,0.6006091758608818,213.1169571569257,100.0,481.9619140625,0.9,19832.74609375
24,1775341342.2744346,0.5999928247183561,213.33588457509427,100.0,481.9619140625,0.9,19833.8828125
25,1775341342.8770134,0.6008053477853537,213.04737128559955,100.0,481.9619140625,0.9,19826.57421875
26,1775341343.4789164,0.6001926008611917,213.26487500235433,100.0,481.9619140625,0.9,19826.41015625
27,1775341344.0809577,0.6006434354931116,213.10480134510343,100.0,481.9619140625,0.9,19831.8515625
28,1775341344.682831,0.6004728842526674,213.16532912107328,100.0,481.9619140625,0.9,19832.1875
29,1775341345.284419,0.6001854594796896,213.2674125610528,100.0,481.9619140625,0.9,19833.78125
30,1775341345.8865027,0.6003415919840336,213.21194751304893,100.0,481.9619140625,0.9,19828.91015625
31,1775341346.488321,0.600420281291008,213.1840045855509,100.0,481.9619140625,0.9,19828.5078125
32,1775341347.0903194,0.6005840245634317,213.1258820829342,100.0,481.9619140625,0.9,19824.2109375
33,1775341347.692496,0.6002314202487469,213.25108230248003,100.0,481.9619140625,0.9,19825.87109375
34,1775341348.2948477,0.6006418149918318,213.10537629109405,100.0,481.9619140625,0.9,19824.609375
35,1775341348.896963,0.6007318552583456,213.07343514346084,100.0,481.9619140625,0.9,19826.140625
36,1775341349.498601,0.600152837112546,213.27900508782616,100.0,481.9619140625,0.9,19832.37890625
37,1775341350.100088,0.6000946890562773,213.29967142568074,100.0,481.9619140625,0.9,19828.62890625
38,1775341350.7023153,0.6008289996534586,213.03898459266586,100.0,481.9619140625,0.9,19828.2421875
39,1775341351.3040912,0.6003881637006998,213.19540880191207,100.0,481.9619140625,0.9,19831.34765625
40,1775341351.9058256,0.6003555729985237,213.206982256688,100.0,481.9619140625,0.9,19831.38671875
41,1775341352.508279,0.6007694602012634,213.06009789032683,100.0,481.9619140625,0.9,19831.78515625
42,1775341353.110278,0.6005888245999813,213.12417873451716,99.0,481.9619140625,0.9,19830.64453125
43,1775341353.7159042,0.6003811210393906,213.197909651796,100.0,481.9619140625,0.9,19834.37890625
44,1775341354.318234,0.6009789127856493,212.98584239286555,100.0,481.9619140625,0.9,19833.30078125
45,1775341354.9203339,0.6005848869681358,213.12557604665645,100.0,481.9619140625,0.9,19833.62890625
46,1775341355.5216515,0.5999695770442486,213.34415093277275,100.0,481.9619140625,0.9,19832.71484375
47,1775341356.123591,0.6005888059735298,213.12418534427601,100.0,481.9619140625,0.9,19832.49609375
48,1775341356.7255814,0.6005397457629442,213.14159621089667,100.0,481.9619140625,0.9,19833.83203125
49,1775341357.327289,0.6003591045737267,213.20572807983635,100.0,481.9619140625,0.9,19832.5078125
50,1775341357.9292748,0.6002871096134186,213.2312987404165,100.0,481.9619140625,0.9,19833.0390625
51,1775341358.531848,0.600863128900528,213.02688389986102,100.0,481.9619140625,0.9,19827.53125
52,1775341359.1345706,0.600694365799427,213.08673310037244,100.0,481.9619140625,0.9,19832.234375
53,1775341359.736236,0.6002773512154818,213.23476513117984,100.0,481.9619140625,0.9,19841.44140625
54,1775341360.3380005,0.6003303807228804,213.21592927859223,100.0,481.9619140625,0.9,19839.46875
55,1775341360.9401355,0.6007548402994871,213.0652828967465,100.0,481.9619140625,0.9,19846.21484375
56,1775341361.5421133,0.6005710568279028,213.13048396982467,100.0,481.9619140625,0.9,19847.625
57,1775341362.1440022,0.600424163043499,213.18262634731235,100.0,481.9619140625,0.9,19848.296875
58,1775341362.745766,0.6003652904182673,213.2035313214459,100.0,481.9619140625,0.9,19846.19921875
59,1775341363.3487737,0.6013020407408476,212.87138796717662,100.0,481.9619140625,0.8,19844.2265625
60,1775341363.9511888,0.6006305385380983,213.10937720806697,100.0,481.9619140625,0.8,19849.25
61,1775341364.5532277,0.6004125345498323,213.1867551632142,100.0,481.9619140625,0.9,19847.3828125
62,1775341365.155218,0.6006029788404703,213.11915609729073,100.0,481.9619140625,0.8,19844.8828125
63,1775341365.757403,0.6008144710212946,213.04413620800307,100.0,481.9619140625,0.9,19787.40625
64,1775341366.3596191,0.6006463542580605,213.10376578928896,100.0,481.9619140625,0.9,19819.37109375
65,1775341366.961585,0.6004195548593998,213.1842625111931,100.0,481.9619140625,0.9,19812.41015625
66,1775341367.5636454,0.600667517632246,213.09625748460564,100.0,481.9619140625,0.9,19792.609375
67,1775341368.165696,0.6006740760058165,213.09393082374433,100.0,481.9619140625,0.9,19791.125
68,1775341368.7684574,0.6007064413279295,213.0824495855938,100.0,481.9619140625,0.9,19795.0234375
69,1775341369.370768,0.6005421839654446,213.14073085557828,100.0,481.9619140625,0.9,19809.9453125
70,1775341369.9731026,0.6008594613522291,213.02818418126776,100.0,481.9619140625,0.9,19796.38671875
71,1775341370.5749514,0.6004619840532541,213.1691987159138,100.0,481.9619140625,0.9,19797.68359375
72,1775341371.1776793,0.6013513375073671,212.8539374844774,100.0,481.9619140625,0.9,19800.94921875
73,1775341371.7798562,0.6006816886365414,213.09123021635816,100.0,481.9619140625,0.9,19827.28125
74,1775341372.3819628,0.600704787299037,213.08303630395457,100.0,481.9619140625,0.9,19795.8125
75,1775341372.9840138,0.6006448250263929,213.10430834790853,100.0,481.9619140625,0.9,19826.98828125
76,1775341373.586556,0.6006697081029415,213.09548038347828,100.0,481.9619140625,0.9,19804.078125
77,1775341374.189697,0.6013404484838247,212.8577918261273,100.0,481.9619140625,0.9,19811.0625
78,1775341374.7918246,0.6007308773696423,213.073781991131,100.0,481.9619140625,0.9,19812.6015625
79,1775341375.3941126,0.6007783599197865,213.05694169325616,100.0,481.9619140625,0.9,19807.8359375
80,1775341375.996347,0.6008552797138691,213.02966674596647,100.0,481.9619140625,0.9,19815.06640625
81,1775341376.5985048,0.6007462982088327,213.06831250003702,100.0,481.9619140625,0.9,19811.37109375
82,1775341377.200677,0.6007053591310978,213.0828334628946,100.0,481.9619140625,0.9,19812.44921875
83,1775341377.8034918,0.601213725283742,212.90265776881688,100.0,481.9619140625,0.9,19807.1171875
84,1775341378.4056058,0.6004334129393101,213.1793421911679,100.0,481.9619140625,0.9,19804.61328125
85,1775341379.0080788,0.6006956677883863,213.08627124158312,100.0,481.9619140625,0.9,19809.4453125
86,1775341379.6103158,0.6008485611528158,213.03204879847476,100.0,481.9619140625,0.9,19811.984375
87,1775341380.2125301,0.600822240114212,213.04138138373193,100.0,481.9619140625,0.9,19814.37109375
88,1775341380.8150854,0.6011604685336351,212.9215187955067,100.0,481.9619140625,0.9,19805.05859375
89,1775341381.417751,0.6010956056416035,212.94449468379338,100.0,481.9619140625,0.9,19805.86328125
90,1775341382.019971,0.6008232478052378,213.04102407417554,100.0,481.9619140625,0.9,19808.8828125
91,1775341382.6225042,0.6007968094199896,213.05039905849608,100.0,481.9619140625,0.9,19810.28515625
92,1775341383.2251577,0.6009722016751766,212.98822082486862,100.0,481.9619140625,0.9,19811.42578125
93,1775341383.8277168,0.6010133121162653,212.97365202992134,100.0,481.9619140625,0.9,19810.90625
94,1775341384.430596,0.6012412291020155,212.89291852319334,100.0,481.9619140625,0.9,19812.125
95,1775341385.0328043,0.6008228603750467,213.04116144998147,100.0,481.9619140625,0.9,19806.28515625
96,1775341385.6352172,0.6010152827948332,212.97295370722708,100.0,481.9619140625,0.9,19810.04296875
97,1775341386.237907,0.6012913081794977,212.87518754851084,100.0,481.9619140625,0.9,19814.23828125
98,1775341386.840347,0.6008365526795387,213.03630651158116,100.0,481.9619140625,0.9,19810.0625
99,1775341387.4427917,0.6007529068738222,213.06596861275645,100.0,481.9619140625,0.9,19805.515625
100,1775341388.0459642,0.6014326401054859,212.8251635587153,100.0,481.9619140625,0.9,19812.41015625
101,1775341388.648719,0.6011758279055357,212.91607888817674,100.0,481.9619140625,0.9,19809.9375
102,1775341389.2515044,0.601395720615983,212.83822882692826,100.0,481.9619140625,0.9,19808.10546875
103,1775341389.8538516,0.6009626649320126,212.99160075856085,100.0,481.9619140625,0.9,19814.9921875
104,1775341390.456376,0.601155836135149,212.92315953034122,100.0,481.9619140625,0.9,19809.953125
105,1775341391.0591335,0.601371917873621,212.8466531204062,100.0,481.9619140625,0.9,19810.265625
106,1775341391.6621618,0.6012179683893919,212.90115520482584,100.0,481.9619140625,0.9,19813.31640625
107,1775341392.2655592,0.6017133053392172,212.72589265387728,100.0,481.9619140625,0.9,19817.8984375
108,1775341392.8687167,0.6016489509493113,212.74864652890247,100.0,481.9619140625,0.9,19814.66015625
109,1775341393.471308,0.6011771559715271,212.91560853330614,100.0,481.9619140625,0.9,19814.6484375
110,1775341394.0737243,0.6010143216699362,212.97329428747753,100.0,481.9619140625,0.9,19812.8515625
111,1775341394.6763897,0.6012768372893333,212.88031080167258,100.0,481.9619140625,0.9,19806.1015625
112,1775341395.2791104,0.6009952817112207,212.98004143317755,100.0,481.9619140625,0.9,19816.8359375
113,1775341395.8822536,0.6014599520713091,212.81549928502025,100.0,481.9619140625,0.8,19812.94921875
114,1775341396.485038,0.6013761609792709,212.84515134681584,100.0,481.9619140625,0.9,19811.546875
115,1775341397.0878425,0.6013478096574545,212.8551862073175,100.0,481.9619140625,0.9,19810.96484375
116,1775341397.6903336,0.6010933239012957,212.9453030175704,100.0,481.9619140625,0.9,19813.2890625
117,1775341398.2931023,0.6013079807162285,212.86928513328056,100.0,481.9619140625,0.9,19812.44140625
118,1775341398.895447,0.600983303040266,212.9842865059164,99.0,481.9619140625,0.9,19811.21484375
119,1775341399.5021033,0.6008532699197531,213.03037930890355,100.0,481.9619140625,0.9,19812.5859375
120,1775341400.105099,0.6016474328935146,212.74918332885943,100.0,481.9619140625,0.9,19814.15625
121,1775341400.7078,0.6011985689401627,212.9080250900262,100.0,481.9619140625,0.9,19813.58984375
122,1775341401.3104146,0.6012707576155663,212.88246331420495,100.0,481.9619140625,0.9,19810.546875
123,1775341401.912866,0.6011172235012054,212.93683660312442,100.0,481.9619140625,0.9,19810.83984375
124,1775341402.5156085,0.6014029886573553,212.83565664640722,100.0,481.9619140625,0.9,19814.53125
125,1775341403.1184113,0.6010770034044981,212.95108492756907,100.0,481.9619140625,0.9,19815.91796875
126,1775341403.7213445,0.6012397166341543,212.8934540728056,100.0,481.9619140625,0.9,19819.19921875
127,1775341404.3242595,0.6015052627772093,212.79946813600822,100.0,481.9619140625,0.9,19803.08203125
128,1775341404.9272568,0.6015335191041231,212.78947213221497,100.0,481.9619140625,0.9,19838.50390625
129,1775341405.5299141,0.6012409366667271,212.89302207136885,100.0,481.9619140625,0.9,19809.2890625
130,1775341406.1330411,0.6017058864235878,212.7285155224338,100.0,481.9619140625,0.9,19852.88671875
131,1775341406.7361405,0.6013742405921221,212.84583103188672,100.0,481.9619140625,0.9,19862.59375
132,1775341407.3392434,0.601295018568635,212.8738739673916,100.0,481.9619140625,0.8,19895.96875
133,1775341407.941857,0.6012213360518217,212.89996266693896,100.0,481.9619140625,0.8,19859.7890625
134,1775341408.5446892,0.6014620792120695,212.81474663819742,100.0,481.9619140625,0.8,19860.94921875
135,1775341409.1476612,0.6015764325857162,212.77429278574968,100.0,481.9619140625,0.9,19864.83203125
136,1775341409.7507706,0.601726396009326,212.72126476235914,100.0,481.9619140625,0.9,19882.02734375
