step,epoch,step_time_sec,io_time_sec,samples_per_sec,loss,gpu_utilization,gpu_memory_used_mb,gpu_memory_percent,system_memory_used_mb,system_memory_percent,forward_gpu_mem_mb,backward_gpu_mem_mb,optim_gpu_mem_mb,forward_time_ms,backward_time_ms,optim_time_ms
50,0,0.0364,0.0012,27.29,0.000000,46.00,488.59,1.51,14517.90,2.80,932.39,491.59,491.59,16.70,17.53,0.92
100,0,0.0315,0.0012,30.98,0.000000,52.00,488.59,1.51,14553.41,2.80,932.39,491.59,491.59,11.52,17.95,0.91
150,0,0.0343,0.0012,24.99,0.000000,50.00,488.59,1.51,14558.00,2.80,932.39,491.59,491.59,12.23,19.94,0.93
200,0,0.0328,0.0014,30.48,0.000000,51.00,488.59,1.51,14565.92,2.80,932.39,491.59,491.59,18.15,11.97,1.25
250,0,0.0327,0.0014,30.61,0.000000,51.00,488.59,1.51,14561.80,2.80,932.39,491.59,491.59,18.09,11.95,1.27
300,0,0.0326,0.0014,30.83,0.000000,51.00,488.59,1.51,14569.93,2.80,932.39,491.59,491.59,18.21,11.69,1.26
350,0,0.0325,0.0014,30.66,0.000000,49.00,488.59,1.51,14572.54,2.80,932.39,491.59,491.59,18.11,11.76,1.25
400,0,0.0390,0.0015,25.31,0.000000,48.00,488.59,1.51,14567.93,2.80,932.39,491.59,491.59,18.40,17.85,1.29
450,0,0.0404,0.0015,24.65,0.000000,43.00,488.59,1.51,14573.78,2.80,932.39,491.59,491.59,19.71,17.97,1.29
500,0,0.0391,0.0015,25.73,0.000000,43.00,488.59,1.51,14573.54,2.80,932.39,491.59,491.59,18.50,17.84,1.26
550,0,0.0389,0.0015,25.69,0.000000,43.00,488.59,1.51,14569.08,2.80,932.39,491.59,491.59,18.38,17.82,1.27
600,0,0.0326,0.0014,30.66,0.000000,51.00,488.59,1.51,14567.11,2.80,932.39,491.59,491.59,18.23,11.72,1.25
650,0,0.0327,0.0014,30.88,0.000000,51.00,488.59,1.51,14568.48,2.80,932.39,491.59,491.59,18.18,11.82,1.26
700,0,0.0328,0.0014,30.61,0.000000,50.00,488.59,1.51,14563.64,2.80,932.39,491.59,491.59,18.25,11.80,1.27
750,0,0.0325,0.0014,30.55,0.000000,51.00,488.59,1.51,14563.75,2.80,932.39,491.59,491.59,18.14,11.72,1.24
800,0,0.0255,0.0011,39.24,0.000000,64.00,488.59,1.51,14564.04,2.80,932.39,491.59,491.59,11.93,11.53,0.87
850,0,0.0255,0.0012,39.29,0.000000,64.00,488.59,1.51,14572.32,2.80,932.39,491.59,491.59,11.92,11.57,0.87
900,0,0.0255,0.0012,39.29,0.000000,64.00,488.59,1.51,14575.05,2.80,932.39,491.59,491.59,11.95,11.54,0.87
950,0,0.0258,0.0012,38.69,0.000000,63.00,488.59,1.51,14582.10,2.80,932.39,491.59,491.59,12.37,11.40,0.88
1000,0,0.0258,0.0012,38.87,0.000000,65.00,488.59,1.51,14584.21,2.80,932.39,491.59,491.59,12.27,11.45,0.87
1050,0,0.0259,0.0011,38.46,0.000000,63.00,488.59,1.51,14586.77,2.80,932.39,491.59,491.59,12.21,11.69,0.88
1100,0,0.0257,0.0012,38.80,0.000000,62.00,488.59,1.51,14588.93,2.80,932.39,491.59,491.59,11.97,11.65,0.88
1150,0,0.0256,0.0012,39.10,0.000000,63.00,488.59,1.51,14589.26,2.80,932.39,491.59,491.59,11.86,11.70,0.87
